address,aa,bb,cc,label
重庆市万州区高笋塘街道太白路12号,50,01,01,完整
重庆万州牌楼街道沙龙路一段88号,50,01,01,完整
万州区双河口街道龙都大道5号,50,01,01,截断
万州陈家坝街道江南大道3号,50,01,01,截断
万州五桥街道上海大道20号,50,01,01,省略省
高笋塘街道太白路12号,50,01,01,省略省市
重庆万州太白街道,50,01,01,省略市+简称
万州高笋塘太白路12号,50,01,01,同音错误
渐庆万州牌楼街道沙龙路88号,50,01,01,编辑距离错误
高笋塘街道万州区重庆市太白路12号,50,01,01,顺序混乱
重庆市涪陵区敦仁街道中山路9号,50,01,02,完整
涪陵荔枝街道兴华中路31号,50,01,02,完整
涪陵区江北街道滨江路4号,50,01,02,截断
涪陵马鞍街道聚龙大道16号,50,01,02,截断
涪陵李渡街道太白大道8号,50,01,02,省略省
敦仁街道中山路9号,50,01,02,省略省市
重庆涪陵崇义街道,50,01,02,省略市+简称
涪陵敦人街道中山路9号,50,01,02,同音错误
渐庆涪陵荔枝街道兴华路31号,50,01,02,编辑距离错误
荔枝街道涪陵区重庆市兴华中路31号,50,01,02,顺序混乱
重庆市渝中区解放碑街道民权路28号,50,01,03,完整
渝中朝天门街道新华路1号,50,01,03,完整
渝中区七星岗街道中山一路6号,50,01,03,截断
渝中大坪街道长江二路10号,50,01,03,截断
渝中石油路街道经纬大道20号,50,01,03,省略省
解放碑街道民权路28号,50,01,03,省略省市
重庆渝中两路口街道,50,01,03,省略市+简称
渝中解防碑街道民权路28号,50,01,03,同音错误
渐庆渝中朝天门街道新华路1号,50,01,03,编辑距离错误
朝天门街道渝中区重庆市新华路1号,50,01,03,顺序混乱
重庆市大渡口区新山村街道钢花路7号,50,01,04,完整
大渡口九宫庙街道文体路3号,50,01,04,完整
大渡口区春晖路街道松青路15号,50,01,04,截断
大渡口茄子溪街道建桥大道9号,50,01,04,截断
大渡口跃进村街道共建路2号,50,01,04,省略省
新山村街道钢花路7号,50,01,04,省略省市
重庆大渡口八桥街道,50,01,04,省略市+简称
大度口新山村街道钢花路7号,50,01,04,同音错误
渐庆大渡口九宫庙街道文体路3号,50,01,04,编辑距离错误
九宫庙街道大渡口区重庆市文体路3号,50,01,04,顺序混乱
重庆市江北区观音桥街道建新北路18号,50,01,05,完整
江北石马河街道盘溪路22号,50,01,05,完整
江北区五里店街道五红路6号,50,01,05,截断
江北寸滩街道海尔路11号,50,01,05,截断
江北观音桥街道建新南路18号,50,01,05,省略省
石马河街道盘溪路22号,50,01,05,省略省市
重庆江北铁山坪街道,50,01,05,省略市+简称
江北观音乐桥街道建新北路18号,50,01,05,同音错误
渐庆江北五里店街道五红路6号,50,01,05,编辑距离错误
观音桥街道江北区重庆市建新北路18号,50,01,05,顺序混乱
重庆市沙坪坝区沙坪坝街道沙正街15号,50,01,06,完整
沙坪坝小龙坎街道小龙坎新街8号,50,01,06,完整
沙坪坝区磁器口街道金蓉巷3号,50,01,06,截断
沙坪坝陈家桥街道大学城北路20号,50,01,06,截断
沙坪坝渝碚路街道渝碚路66号,50,01,06,省略省
