原始文本,省,市,区
火车站旧家属区石转单身宿舍对面,,,
安宜镇白田路百合家园000栋,江苏省,扬州市,宝应县
浙江省温州市龙港镇兴安街000号,浙江省,温州市,龙港市
清远路0000-00号,广东省,清远市,清城区
当湖街道金色港湾0幢,浙江省,嘉兴市,平湖市
振港路华莱士斜对面,,,
回溪街0000号东方巴黎一,浙江省,金华市,婺城区
汽车东站小商品市场,,,
后城里曙光路000号-饿了么,浙江省,金华市,婺城区
东环街迎新商场新动力动漫,,,
北兰江路00号市政府接待办000办公室,,,
篁园市场0楼00街000号,浙江省,金华市,义乌市
新疆阿拉尔市城区公安局刑事侦查大队,新疆维吾尔自治区,阿拉尔市,阿拉尔市
临半路000号00号楼南0楼,,,
杭州市下沙0号大街中国农业银行杭州下沙支行,浙江省,杭州市,钱塘区
文三路0000号颐高数码00楼,浙江省,杭州市,西湖区
柳青二区00栋00单元三楼,浙江省,金华市,义乌市
浙江省杭州市余杭镇中泰工业园仙桥路0号,浙江省,杭州市,余杭区
杭州市黄姑山路00号天科大厦浙江省科技开发中心,浙江省,杭州市,西湖区
杭州市莫干山路0000号明智测绘,浙江省,杭州市,拱墅区
上溪金塘路0000号楼0楼一层,浙江省,金华市,义乌市
泽雅镇泽南小区00栋0楼,浙江省,温州市,瓯海区
山口新村,,,
浙江省杭州市余杭经济开发区兴中路000号,浙江省,杭州市,余杭区
金浦路000弄九号杠_,,,
浙江省舟山市沈家门,浙江省,舟山市,普陀区
杭州市体育场路000号六楼,浙江省,杭州市,拱墅区
九堡商贸中心,浙江省,杭州市,上城区
魏塘街道环北西路长城苏旺你手套厂,浙江省,嘉兴市,嘉善县
高新九路0000号0号楼西厂房,,,
杭州市杭州市大学路000号0单元,浙江省,杭州市,上城区
璜土镇融城苑00栋,江苏省,无锡市,江阴市
福全镇中心商贸区无名大厦000楼,浙江省,绍兴市,柯桥区
信河街华侨饭店名品广场0AAAAAAAA,浙江省,温州市,鹿城区
江东区江东北路0000号运鑫公寓电联,浙江省,宁波市,鄞州区
洋河工业区新发自动化公司,,,
北苑街道季宅一区000栋一单元,浙江省,金华市,义乌市
盛世天城二期00幢000单元,,,
浙江省绍兴市山水名家璞园0幢,浙江省,绍兴市,越城区
金家新村000幢金家新村00幢,,,
大街八狮中巷0号院,,,
湖塘镇西屋工业园0区0楼,江苏省,常州市,武进区
建丰村建河路00弄0-0号,,,
浙江省嘉兴市晴湾一期,浙江省,嘉兴市,南湖区
江苏省盐城市人民北路北闸0组孙家巷000号,江苏省,盐城市,亭湖区
大学路新村00栋,,,
绍兴市漓渚镇六峰村兴力特陶瓷厂,浙江省,绍兴市,柯桥区
四川省宜宾县观音镇龙驼村,四川省,宜宾市,叙州区
付村镇清坊南街000号联创箱包厂,浙江省,金华市,义乌市
灵溪镇新世纪,浙江省,温州市,苍南县
国际商贸城四区九楼000街,浙江省,金华市,义乌市
东阳市东阳白云街道甑山路永金路0号,浙江省,金华市,东阳市
杜元小区000栋杜元小区-00栋,,,
芯坛高赞高桂南0路00号文三,,,
金华高山头小区000幢0号楼店面,浙江省,金华市,婺城区
东街街道荼亭路000号领海天城,,,
浙江省杭州市杭州市绪塘镇,浙江省,杭州市,建德市
塘下镇北工业区凤都一路000号八栋五楼,浙江省,温州市,瑞安市
和睦街道萍水街0000号口腔医院,浙江省,杭州市,拱墅区
浙江省绍兴市袍江财富中心步行街000号,浙江省,绍兴市,越城区
浙江省绍兴震元路电联,浙江省,绍兴市,越城区
浙江省宁波市俞范东路000号海达塑机有限公司,浙江省,宁波市,镇海区
绍兴县联吉市场七楼,浙江省,绍兴市,柯桥区
杭州文华路南都花园三区,浙江省,杭州市,西湖区
宁波余姚北工业区汝霖路000号法思德五金,浙江省,宁波市,余姚市
台州经济开发区东环大道0000号东风日产台州森元专营店,浙江省,台州市,椒江区
九华路0号薪禾联创公园,,,
屠甸工业园区同丰路000号法拉狄奥00楼,浙江省,嘉兴市,桐乡市
浙江省嘉兴市平湖市经济开发区,浙江省,嘉兴市,平湖市
北京市东方广场西三办公楼,北京市,北京市,东城区
江滨西路0000号万家花苑00幢0单元,,,
故县街道王庄鑫春家园小区,,,
