原始文本,省,市,区
浙江杭州市江干区九堡镇三村村一区,浙江省,杭州市,上城区
浙江省温州市平阳县海西镇宋埠公园南路0000号,浙江省,温州市,平阳县
浙江省余姚市模具城金型路000号_样样红0A打印,浙江省,宁波市,余姚市
浙江省杭州市江干区白杨街道下沙开发区世茂江滨花园峻景湾00幢,浙江省,杭州市,江干区
秋菱路浙江兰溪金立达框业有限公司,浙江省,金华市,兰溪市
南湖区中环南路和花园路交叉口嘉兴市城乡规划建设管理委员会,浙江省,嘉兴市,南湖区
下关镇嘉士伯大道龙泉组团物管处,浙江省,丽水市,龙泉市
义乌长春路000号二楼教务科,浙江省,金华市,义乌市
浙江省金华义乌市下湾0区00栋,浙江省,金华市,义乌市
浙江省金华市永康市方岩镇文楼村万里公路000号,浙江省,金华市,永康市
浙江绍兴市绍兴县袍江工业园区世纪街跟汤工路交叉口苏泊尔0号厂房仓库,浙江省,绍兴市,绍兴县
上海市徐汇区宛平南路000弄0号楼佳安公寓,上海市,上海市,徐汇区
义乌市丹阳街000号,浙江省,金华市,义乌市
余姚市临山镇车站西路00号,浙江省,宁波市,余姚市
浙江省宁波市江东区园丁街00号,浙江省,宁波市,江东区
上海市浦东周浦周邓公路0000弄000号,上海市,上海市,浦东
开发大道000号附近武义太平洋国际货运代理有限公司,浙江省,金华市,武义县
安徽省宣城市广德县团山路0号,安徽省,宣城市,广德县
巨溪镇朝阳村委会办公楼三单元,北京市,北京市,朝阳区
桐乡市石门镇育才路0000号中心卫生院,浙江省,嘉兴市,桐乡市
浙江温州市鹿城区解放南路国正大厦嘉乐广场凤凰尚品,浙江省,温州市,鹿城区
浙江省宁波市宁海县宁海县长街镇五福村,浙江省,宁波市,宁海县宁海县
浙江省嘉兴市桐乡市文华小区,浙江省,嘉兴市,桐乡市
桐乡市濮院镇凯旋路0000弄0单元电联,浙江省,嘉兴市,桐乡市
德清县武康镇春溪华庭文欣阁,浙江省,湖州市,德清县
义乌市国际商贸城A区九楼,浙江省,金华市,义乌市
浙江省嘉兴市南湖区万达华府二期九栋,浙江省,嘉兴市,南湖区
龙湾滨海工业区AAA高端优品新增,浙江省,温州市,龙湾区
浙江省金华市东阳市兴平东路000巷00号楼六单元,浙江省,金华市,东阳市
金华市义乌市南下朱A区00栋,浙江省,金华市,义乌市
浙江省金华市浦江县晶都二区,浙江省,金华市,浦江县
浙江省温州市龙湾区建中街00号,浙江省,温州市,龙湾区
浙江省宁波鄞州区古林镇礼嘉桥村华丰盛远公寓电联,浙江省,宁波市,鄞州区
杭州市拱墅区丰谭路银泰城购物中心,浙江省,杭州市,拱墅区
浙江省温州市瓯海区东方南路00号服装发展大厦00A-,浙江省,温州市,瓯海区
罗凤镇塘口工业区罗山二路00号,河南省,信阳市,罗山县
杭州滨江浦沿路000号,浙江省,杭州市,滨江区
金华市义乌市稠州北路通福0区0栋,浙江省,金华市,义乌市
福建省厦门市湖里区五缘湾道文化展览苑A区,福建省,厦门市,湖里区
浙江省宁波市鄞州区古林镇前虞村天胜四不用农场,浙江省,宁波市,鄞州区
浙江台州仙居县省耕路0000号,浙江省,台州市,仙居县
天山路街道上海市长宁区天山路0000号0号楼,上海市,上海市,长宁区
慈溪市逍林镇周塘下路,浙江省,宁波市,慈溪市
浙江省温州市瓯海区靖宁街000号,浙江省,温州市,瓯海区
姜山镇胡家坟振兴路,辽宁省,丹东市,振兴区
浙江省临海市杜桥镇溪口村00-00号,浙江省,台州市,临海市
宁波北仑小港衙前纬三路00号,浙江省,宁波市,北仑区
浙江省宁波市慈溪市天元镇铜店弄后000号,浙江省,宁波市,慈溪市
